location,name,freq,weighting,direction,n_stocks,n_stocks_min,date,ret
ind,mkt,monthly,vw,na,3310,na,31-05-2016,0.007486029
ind,mkt,monthly,vw,na,3368,na,30-06-2016,0.033913769
ind,mkt,monthly,vw,na,3378,na,31-07-2016,0.062379828
ind,mkt,monthly,vw,na,3420,na,31-08-2016,0.01987526
ind,mkt,monthly,vw,na,3445,na,30-09-2016,-0.002067723
ind,mkt,monthly,vw,na,3469,na,31-10-2016,0.022194221
ind,mkt,monthly,vw,na,3453,na,30-11-2016,-0.07416223
ind,mkt,monthly,vw,na,3414,na,31-12-2016,-0.007441623
ind,mkt,monthly,vw,na,3446,na,31-01-2017,0.059609219
ind,mkt,monthly,vw,na,3485,na,28-02-2017,0.064038728
ind,mkt,monthly,vw,na,3496,na,31-03-2017,0.066263714
ind,mkt,monthly,vw,na,3496,na,30-04-2017,0.039477275
ind,mkt,monthly,vw,na,3473,na,31-05-2017,0.001167156
ind,mkt,monthly,vw,na,3402,na,30-06-2017,-0.001544372
ind,mkt,monthly,vw,na,3364,na,31-07-2017,0.062360464
ind,mkt,monthly,vw,na,3352,na,31-08-2017,-0.001717674
ind,mkt,monthly,vw,na,3284,na,30-09-2017,-0.030106038
ind,mkt,monthly,vw,na,3280,na,31-10-2017,0.085368036
ind,mkt,monthly,vw,na,3401,na,30-11-2017,0.006260674
ind,mkt,monthly,vw,na,3415,na,31-12-2017,0.049769076
ind,mkt,monthly,vw,na,3445,na,31-01-2018,0.011295915
ind,mkt,monthly,vw,na,3502,na,28-02-2018,-0.062380679
ind,mkt,monthly,vw,na,3460,na,31-03-2018,-0.041973954
ind,mkt,monthly,vw,na,3448,na,30-04-2018,0.045942639
ind,mkt,monthly,vw,na,3471,na,31-05-2018,-0.040569352
ind,mkt,monthly,vw,na,3464,na,30-06-2018,-0.042250126
ind,mkt,monthly,vw,na,3330,na,31-07-2018,0.052389285
ind,mkt,monthly,vw,na,3374,na,31-08-2018,0.003034014
ind,mkt,monthly,vw,na,3380,na,30-09-2018,-0.114806056
ind,mkt,monthly,vw,na,3491,na,31-10-2018,-0.061420749
ind,mkt,monthly,vw,na,3505,na,30-11-2018,0.094949731
ind,mkt,monthly,vw,na,3468,na,31-12-2018,0.01066837
ind,mkt,monthly,vw,na,3500,na,31-01-2019,-0.047513859
ind,mkt,monthly,vw,na,3494,na,28-02-2019,-0.003612672
ind,mkt,monthly,vw,na,3518,na,31-03-2019,0.096319664
ind,mkt,monthly,vw,na,3528,na,30-04-2019,-0.005695436
ind,mkt,monthly,vw,na,3491,na,31-05-2019,0.009533472
ind,mkt,monthly,vw,na,3472,na,30-06-2019,-0.007681942
